time,EUR_JPY_Bid,EUR_JPY_Ask,,time,GBP_JPY_Bid,GBP_JPY_Ask
16,118.703,118.718,,0,155.126,155.182
47,118.696,118.71,,13,155.113,155.172
93,118.724,118.737,,31,155.085,155.145
128,118.717,118.73,,48,155.095,155.153
150,118.715,118.728,,58,155.121,155.189
167,118.708,118.721,,77,155.111,155.166
210,118.717,118.731,,87,155.112,155.168
221,118.728,118.741,,109,155.131,155.189
232,118.727,118.74,,123,155.127,155.187
254,118.73,118.747,,138,155.157,155.234
304,118.742,118.755,,152,155.156,155.232
319,118.737,118.75,,162,155.151,155.221
334,118.723,118.738,,173,155.156,155.23
362,118.731,118.747,,185,155.164,155.242
375,118.734,118.747,,199,155.194,155.257
387,118.734,118.748,,212,155.208,155.261
408,118.73,118.745,,234,155.205,155.267
469,118.726,118.741,,247,155.195,155.258
489,118.723,118.737,,258,155.164,155.23
559,118.718,118.731,,270,155.168,155.227
571,118.713,118.726,,282,155.164,155.227
587,118.72,118.733,,295,155.169,155.233
642,118.711,118.724,,305,155.203,155.28
663,118.722,118.735,,319,155.182,155.246
692,118.717,118.73,,340,155.127,155.197
705,118.709,118.722,,352,155.137,155.215
717,118.71,118.724,,362,155.187,155.28
731,118.708,118.722,,372,155.161,155.231
741,118.701,118.714,,387,155.168,155.233
756,118.693,118.707,,402,155.174,155.249
767,118.68,118.693,,412,155.181,155.257
787,118.676,118.69,,425,155.152,155.225
814,118.687,118.7,,461,155.14,155.21
838,118.683,118.698,,472,155.138,155.198
867,118.699,118.712,,484,155.133,155.19
879,118.703,118.716,,494,155.058,155.132
915,118.698,118.711,,514,155.103,155.158
988,118.694,118.707,,529,155.094,155.149
1004,118.686,118.699,,540,155.084,155.15
1019,118.678,118.691,,569,155.068,155.141
1038,118.672,118.685,,583,155.064,155.13
1061,118.655,118.67,,617,155.065,155.13
1099,118.661,118.674,,636,155.051,155.12
1114,118.661,118.674,,648,155.038,155.099
1125,118.656,118.672,,663,155.033,155.098
1140,118.645,118.658,,673,155.035,155.095
1161,118.639,118.652,,684,155.03,155.094
1180,118.636,118.649,,694,155.021,155.079
